Unnamed: 0,Jan 13,at Jacksonville,W,21-8,345
,Feb 17,#4 MARYLAND,L,11-19,1445
,Feb 24,#8 VIRGINIA,W,10-9,849
,Mar 02,vs #2 Florida,L,10-14,2713
,Mar 09,at #16 Towson,W,10-3,673
*,Mar 22,UCONN,W,18-7,465
,Mar 27,at Boston College,W,17-12,202
,Mar 30,at #4 Northwestern,L,12-13,1262
*,Apr 05,at Villanova,W,19-7,387
*,Apr 07,at Rutgers,W,10-8,541
*,Apr 12,LOUISVILLE,W,19-7,630
*,Apr 14,CINCINNATI,W,21-6,198
,Apr 16,#20 CORNELL,W,16-4,331
*,Apr 19,#7 NOTRE DAME,W,11-8,689
,Apr 21,MARQUETTE,W,18-6,594
*,Apr 26,at #12 Loyola,W,19-9,608
*,Apr 28,at #8 Georgetown,W,13-7,652
,May 02,vs #18 Connecticut,W,19-6,514
,May 04,at #6 Georgetown,W,14-7,621
,May 12,DART,W,21-8,426
,May 18,#4 FLORIDA,W,13-9,975
,May 24,vs #1 Maryland,L,10-11,6278
